id,token,tag,wiki_id
0,Предложен,O,
1,новый,O,
2,способ,B-TERM,Q104526
3,рельефной,I-TERM,
4,маркировки,I-TERM,
5,монтажных,I-TERM,
6,трубок,I-TERM,
7,и,I-TERM,
8,муфт,I-TERM,
9,из,O,
10,полимерных,B-TERM,
11,материалов,I-TERM,
12,c,O,
13,«,O,
14,памятью,O,
15,формы,O,
16,»,O,
17,.,O,
18,Приведены,O,
19,методика,O,
20,и,O,
21,результаты,O,
22,инструментальной,O,
23,оценки,O,
24,стереометрии,B-TERM,
25,рельефной,I-TERM,
26,маркировки,I-TERM,
27,монтажных,B-TERM,
28,деталей,I-TERM,
29,для,O,
30,авиационной,B-TERM,Q4055832
31,техники,I-TERM,
32,из,O,
33,поливинилхлорида,B-TERM,Q146368
34,",",O,
35,полиэтилентерефталата,B-TERM,Q145863
36,и,O,
37,полистирола,B-TERM,Q146243
38,.,O,
39,Параметры,O,
40,точечной,B-TERM,
41,рельефной,I-TERM,
42,маркировки,I-TERM,
43,и,O,
44,соответствие,O,
45,формы,O,
46,точек,O,
47,стандарту,O,
48,шрифта,B-TERM,Q79894
49,Брайля,I-TERM,
50,определены,O,
51,неразрушающим,B-TERM,
52,методом,I-TERM,
53,по,O,
54,цвету,B-TERM,
55,интерференционной,I-TERM,
56,картины,I-TERM,
57,с,O,
58,точностью,O,
59,0,O,
60,",",O,
61,2,O,
62,мм,O,
63,.,O,
