id,token,tag,wiki_id
0,Современные,O,
1,информационные,B-TERM,Q121182
2,системы,I-TERM,
3,имеют,O,
4,сложную,O,
5,архитектуру,B-TERM,Q846636
6,",",O,
7,приложения,O,
8,и,O,
9,данные,O,
10,распределены,O,
11,между,O,
12,различными,O,
13,вычислительными,B-TERM,Q1188853
14,узлами,I-TERM,
15,",",O,
16,одновременно,O,
17,выполняется,O,
18,множество,O,
19,сетевых,B-TERM,
20,операций,I-TERM,
21,",",O,
22,поэтому,O,
23,актуальна,O,
24,разработка,O,
25,методов,B-TERM,Q1799072
26,и,O,
27,инструментальных,B-TERM,Q1077784
28,средств,I-TERM,
29,для,O,
30,профилирования,B-TERM,Q1138496
31,распределенных,B-TERM,Q3962217
32,систем,I-TERM,
33,.,O,
34,В,O,
35,статье,O,
36,проанализированы,O,
37,и,O,
38,унифицированы,O,
39,методы,B-TERM,
40,профилирования,I-TERM,
41,распределенных,I-TERM,
42,систем,I-TERM,
43,",",O,
44,которые,O,
45,ориентированы,O,
46,на,O,
47,имитационное,B-TERM,Q7263963
48,моделирование,I-TERM,
49,для,O,
50,проведения,O,
51,экспериментов,O,
52,и,O,
53,построение,O,
54,графовой,B-TERM,Q2623243
55,модели,I-TERM,
56,системы,I-TERM,
57,.,O,
58,Для,O,
59,имитационного,B-TERM,Q7263963
60,моделирования,I-TERM,
61,используется,O,
62,теория,B-TERM,Q1192971
63,сетей,I-TERM,
64,массового,I-TERM,
65,обслуживания,I-TERM,
66,.,O,
67,Для,O,
68,автоматизации,O,
69,приведенного,O,
70,метода,B-TERM,
71,профилирования,I-TERM,
72,распределенных,I-TERM,
73,систем,I-TERM,
74,разработано,O,
75,приложение,B-TERM,
76,типа,O,
77,SCADA,B-TERM,Q17498
78,-,I-TERM,
79,системы,I-TERM,
80,",",O,
81,имеющее,O,
82,модульную,B-TERM,
83,структуру,I-TERM,
84,.,O,
